0.0000;	38.4492;	-1.0000;	0;	
38.4492;	39.2458;	48.4492;	1;	
39.2458;	45.1467;	48.4492;	2;	
45.1467;	46.9037;	48.4492;	2;	45.9939  
45.9939;	46.9037;	48.4492;	2;	46.2022  
46.2022;	46.9037;	48.4492;	2;	47.7742  
46.9037;	50.6161;	48.4492;	2;	47.7742  47.7850  
47.7742;	50.6161;	48.4492;	2;	47.7850  47.7937  
47.7850;	50.6161;	48.4492;	2;	47.7937  57.0722  
47.7937;	50.6161;	48.4492;	2;	48.5227  57.0722  
48.4492;	50.6161;	58.4492;	1;	48.5227  57.0722  
48.5227;	50.6161;	58.4492;	2;	57.0722  
50.6161;	55.9219;	58.4492;	2;	53.7591  57.0722  
53.7591;	55.9219;	58.4492;	2;	57.0722  75.4728  
55.9219;	68.0970;	58.4492;	2;	57.0722  60.9599  75.4728  
57.0722;	68.0970;	58.4492;	2;	59.5139  60.9599  75.4728  
58.4492;	68.0970;	68.4492;	1;	59.5139  60.9599  75.4728  
59.5139;	68.0970;	68.4492;	2;	60.9599  75.4728  
60.9599;	68.0970;	68.4492;	2;	65.9204  75.4728  
65.9204;	68.0970;	68.4492;	2;	75.4728  82.3284  
68.0970;	73.8710;	68.4492;	2;	73.5582  75.4728  82.3284  
68.4492;	73.8710;	78.4492;	1;	73.5582  75.4728  82.3284  
73.5583;	73.8710;	78.4492;	2;	75.4728  82.3284  
73.8710;	74.1664;	78.4492;	2;	74.6195  75.4728  82.3284  
74.1664;	75.5691;	78.4492;	2;	74.6195  75.4728  75.7547  82.3284  
74.6195;	75.5691;	78.4492;	2;	75.4728  75.7547  82.3284  84.7135  
75.4728;	75.5691;	78.4492;	2;	75.7547  78.1759  82.3284  84.7135  
75.5691;	76.7480;	78.4492;	2;	75.7547  78.1759  82.3284  84.7135  87.3094  
75.7548;	76.7480;	78.4492;	2;	78.1759  78.9049  82.3284  84.7135  87.3094  
76.7480;	85.2311;	78.4492;	2;	78.1759  78.9049  82.3284  84.7135  86.1890  87.3094  
78.1759;	85.2311;	78.4492;	2;	78.9049  81.7258  82.3284  84.7135  86.1890  87.3094  
78.4492;	85.2311;	88.4492;	1;	78.9049  81.7258  82.3284  84.7135  86.1890  87.3094  
78.9049;	85.2311;	88.4492;	2;	81.7258  82.3284  84.7135  86.1890  87.3094  
81.7258;	85.2311;	88.4492;	2;	82.3284  84.7135  86.1890  87.3094  89.2659  
82.3284;	85.2311;	88.4492;	2;	84.7135  86.1890  86.3652  87.3094  89.2659  
84.7135;	85.2311;	88.4492;	2;	86.1890  86.3652  87.3094  89.2659  101.5850  
85.2311;	89.7277;	88.4492;	2;	86.1890  86.3652  87.3094  89.2659  97.9335  101.5850  
86.1890;	89.7277;	88.4492;	2;	86.3652  87.3094  89.2659  90.7222  97.9335  101.5850  
86.3652;	89.7277;	88.4492;	2;	87.3094  87.6413  89.2659  90.7222  97.9335  101.5850  
87.3094;	89.7277;	88.4492;	2;	87.6413  88.4649  89.2659  90.7222  97.9335  101.5850  
87.6413;	89.7277;	88.4492;	2;	88.4649  89.2659  90.7222  93.1199  97.9335  101.5850  
88.4492;	89.7277;	98.4492;	1;	88.4649  89.2659  90.7222  93.1199  97.9335  101.5850  
88.4649;	89.7277;	98.4492;	2;	89.2659  90.7222  93.1199  97.9335  101.5850  
89.2659;	89.7277;	98.4492;	2;	90.7222  93.1199  93.3130  97.9335  101.5850  
89.7277;	90.7758;	98.4492;	2;	90.7222  93.1199  93.3130  97.8012  97.9335  101.5850  
90.7222;	90.7758;	98.4492;	2;	91.7161  93.1199  93.3130  97.8012  97.9335  101.5850  
90.7758;	96.5989;	98.4492;	2;	91.7161  93.1199  93.3130  95.5362  97.8012  97.9335  101.5850  
91.7161;	96.5989;	98.4492;	2;	91.8956  93.1199  93.3130  95.5362  97.8012  97.9335  101.5850  
91.8956;	96.5989;	98.4492;	2;	92.0636  93.1199  93.3130  95.5362  97.8012  97.9335  101.5850  
92.0636;	96.5989;	98.4492;	2;	93.1199  93.3130  94.3830  95.5362  97.8012  97.9335  101.5850  
93.1199;	96.5989;	98.4492;	2;	93.3130  94.3830  95.5362  96.7383  97.8012  97.9335  101.5850  
